x.bmi5cat,income2,x.state,Freq
3,4,32,62433
4,4,32,38758
1,5,32,2067
2,5,32,61324
3,5,32,72424
4,5,32,71887
1,6,32,2155
2,6,32,63599
3,6,32,102087
4,6,32,81960
1,7,32,7050
2,7,32,78520
3,7,32,120431
4,7,32,94842
1,8,32,6665
2,8,32,185512
3,8,32,219876
4,8,32,159161
1,77,32,14765
2,77,32,82500
3,77,32,68595
4,77,32,51178
1,99,32,2197
2,99,32,72560
3,99,32,104967
4,99,32,54750
1,1,33,240
2,1,33,6760
3,1,33,4158
4,1,33,8632
1,2,33,519
2,2,33,9550
3,2,33,6137
4,2,33,8197
1,3,33,1179
2,3,33,13669
3,3,33,13273
4,3,33,15024
1,4,33,405
2,4,33,17163
3,4,33,16738
4,4,33,24931
1,5,33,921
2,5,33,19296
3,5,33,21550
4,5,33,22373
1,6,33,1346
2,6,33,33982
3,6,33,40801
4,6,33,33693
1,7,33,804
2,7,33,42712
3,7,33,56705
4,7,33,39628
1,8,33,2896
2,8,33,138707
3,8,33,142807
4,8,33,105581
1,77,33,4999
2,77,33,27796
3,77,33,20689
4,77,33,20196
1,99,33,328
2,99,33,26749
3,99,33,31236
4,99,33,17771
1,1,34,1609
2,1,34,77952
3,1,34,49208
4,1,34,46655
1,2,34,1275
2,2,34,30558
3,2,34,38540
4,2,34,66730
1,3,34,0
2,3,34,55942
3,3,34,147401
4,3,34,77476
1,4,34,3475
2,4,34,140940
3,4,34,125393
4,4,34,143176
1,5,34,15856
2,5,34,95195
3,5,34,148480
4,5,34,105566
1,6,34,29211
2,6,34,141102
3,6,34,186047
4,6,34,144147
1,7,34,18592
2,7,34,225819
3,7,34,237938
4,7,34,199271
1,8,34,19131
2,8,34,978347
3,8,34,918831
4,8,34,615199
1,77,34,26954
2,77,34,228965
3,77,34,172016
4,77,34,94764
1,99,34,10004
2,99,34,195982
3,99,34,209507
4,99,34,69901
1,1,35,4431
2,1,35,33513
3,1,35,26682
4,1,35,34006
1,2,35,1351
2,2,35,20273
3,2,35,30455
4,2,35,32842
1,3,35,5475
2,3,35,37398
3,3,35,41802
4,3,35,51047
1,4,35,2495
2,4,35,35631
3,4,35,53841
4,4,35,57419
1,5,35,1478
2,5,35,47195
3,5,35,53091
4,5,35,48315
1,6,35,5327
2,6,35,44571
3,6,35,66648
4,6,35,48133
1,7,35,2527
2,7,35,55817
3,7,35,55331
4,7,35,64602
1,8,35,4655
2,8,35,104483
3,8,35,131148
4,8,35,97675
1,77,35,4718
2,77,35,42044
3,77,35,27101
4,77,35,27760
1,99,35,1379
2,99,35,27372
3,99,35,27819
4,99,35,13965
1,1,36,24852
2,1,36,169127
3,1,36,171628
4,1,36,155311
1,2,36,7380
2,2,36,152294
3,2,36,179956
4,2,36,202338
1,3,36,26583
2,3,36,255337
3,3,36,295278
4,3,36,244239
1,4,36,29695
2,4,36,296755
3,4,36,309566
4,4,36,292477
1,5,36,33224
2,5,36,354808
3,5,36,344471
4,5,36,326279
1,6,36,23639
2,6,36,387575
3,6,36,457347
4,6,36,387795
1,7,36,31507
2,7,36,467075
3,7,36,507519
4,7,36,441045
1,8,36,72864
2,8,36,1758998
3,8,36,1675151
4,8,36,1127475
1,77,36,58052
2,77,36,533492
3,77,36,470517
4,77,36,397292
1,99,36,27780
2,99,36,472463
3,99,36,464181
4,99,36,268256
1,1,37,14126
2,1,37,96370
3,1,37,72293
4,1,37,90418
1,2,37,11986
2,2,37,84796
3,2,37,75944
4,2,37,96363
1,3,37,14551
2,3,37,133342
3,3,37,149794
4,3,37,172373
1,4,37,14794
2,4,37,153785
3,4,37,200646
4,4,37,186624
1,5,37,15623
2,5,37,177221
3,5,37,200234
4,5,37,253693
1,6,37,11630
2,6,37,199660
3,6,37,332351
4,6,37,293810
1,7,37,17846
2,7,37,294689
3,7,37,362994
4,7,37,368613
1,8,37,20229
2,8,37,626049
3,8,37,713193
4,8,37,604089
1,77,37,31981
2,77,37,242720
3,77,37,224105
4,77,37,206142
1,99,37,3736
2,99,37,177583
3,99,37,235871
4,99,37,140966
1,1,38,753
2,1,38,5393
3,1,38,5628
4,1,38,5338
1,2,38,467
2,2,38,5284
3,2,38,4499
4,2,38,5881
1,3,38,405
2,3,38,7463
3,3,38,9035
4,3,38,8369
1,4,38,311
2,4,38,9899
3,4,38,11219
4,4,38,15175
1,5,38,641
2,5,38,10456
3,5,38,15886
4,5,38,16623
1,6,38,65
2,6,38,19935
3,6,38,21037
4,6,38,21492
1,7,38,586
2,7,38,20460
3,7,38,31186
4,7,38,29647
1,8,38,1844
2,8,38,52372
3,8,38,71973
4,8,38,67776
1,77,38,444
2,77,38,12264
3,77,38,12953
4,77,38,11083
1,99,38,331
2,99,38,6430
3,99,38,9821
4,99,38,7369
1,1,39,7179
2,1,39,130215
3,1,39,72271
4,1,39,116976
1,2,39,4123
2,2,39,106654
3,2,39,101864
4,2,39,125030
1,3,39,19935
2,3,39,177201
3,3,39,148406
4,3,39,220690
1,4,39,20533
2,4,39,184673
3,4,39,238017
4,4,39,265846
1,5,39,10735
2,5,39,266820
3,5,39,277502
4,5,39,280749
1,6,39,7360
2,6,39,276502
3,6,39,379062
4,6,39,354272
1,7,39,14066
2,7,39,289534
3,7,39,422569
4,7,39,417733
1,8,39,23075
2,8,39,689663
3,8,39,911378
4,8,39,810799
1,77,39,26337
2,77,39,255999
3,77,39,194711
4,77,39,156308
1,99,39,2130
2,99,39,149388
3,99,39,156998
4,99,39,120158
1,1,40,2479
2,1,40,37405
3,1,40,36737
4,1,40,34727
1,2,40,3740
2,2,40,33045
3,2,40,32397
4,2,40,39345
1,3,40,7506
2,3,40,43732
3,3,40,68054
4,3,40,65845
1,4,40,7179
2,4,40,73559
3,4,40,65412
4,4,40,98871
1,5,40,6867
2,5,40,79475
3,5,40,90526
4,5,40,100299
1,6,40,9603
2,6,40,77167
3,6,40,128137
4,6,40,134094
1,7,40,4258
2,7,40,109071
3,7,40,158146
4,7,40,143397
1,8,40,9748
2,8,40,183518
3,8,40,238207
4,8,40,222028
1,77,40,3267
2,77,40,84103
3,77,40,80561
4,77,40,65201
1,99,40,1987
2,99,40,55572
3,99,40,55914
4,99,40,51271
1,1,41,5615
2,1,41,43276
3,1,41,28228
4,1,41,41161
1,2,41,3195
2,2,41,35045
3,2,41,36612
4,2,41,46064
1,3,41,3818
2,3,41,62235
3,3,41,55295
4,3,41,53166
1,4,41,4238
2,4,41,58177
3,4,41,88398
4,4,41,85089
1,5,41,5458
2,5,41,89416
3,5,41,108634
4,5,41,74945
1,6,41,2837
2,6,41,117246
3,6,41,119307
4,6,41,120354
1,7,41,7015
2,7,41,123071
3,7,41,148898
4,7,41,135423
1,8,41,10777
2,8,41,321980
3,8,41,327508
4,8,41,243078
1,77,41,12712
2,77,41,103681
3,77,41,69407
4,77,41,68246
1,99,41,4930
2,99,41,85370
3,99,41,64172
4,99,41,48950
1,1,42,7020
2,1,42,68464
3,1,42,77274
4,1,42,106236
1,2,42,8666
2,2,42,93982
3,2,42,129302
4,2,42,95494
1,3,42,31112
2,3,42,173426
3,3,42,178086
4,3,42,168727
1,4,42,9241
2,4,42,198362
3,4,42,243465
